Date,NIFTY_50_Open,NIFTY_50_High,NIFTY_50_Low,NIFTY_50_Close,Auto_Open,Auto_High,Auto_Low,Auto_Close,Bank_Open,Bank_High,Bank_Low,Bank_Close,FMCG_Open,FMCG_High,FMCG_Low,FMCG_Close,IT_Open,IT_High,IT_Low,IT_Close,Next_50_Open,Next_50_High,Next_50_Low,Next_50_Close,Energy_Open,Energy_High,Energy_Low,Energy_Close
6 Jun 2019,12039.8,12039.8,11830.25,11843.75,12039.8,16 Dec 1932,11830.25,11843.75,12039.8,12039.8,11830.25,11843.75,12039.8,12039.8,11830.25,11843.75,12039.8,12039.8,11830.25,11843.75,12039.8,12039.8,11830.25,11843.75,12039.8,12039.8,11830.25,11843.75
7 Jun 2019,11865.2,11897.5,11769.5,11870.65,11865.2,27 Jul 1932,11769.5,11870.65,11865.2,11897.5,11769.5,11870.65,11865.2,11897.5,11769.5,11870.65,11865.2,11897.5,11769.5,11870.65,11865.2,11897.5,11769.5,11870.65,11865.2,11897.5,11769.5,11870.65
10 Jun 2019,11934.9,11975.05,11871.75,11922.7,11934.9,13 Oct 1932,11871.75,11922.7,11934.9,11975.05,11871.75,11922.7,11934.9,11975.05,11871.75,11922.7,11934.9,11975.05,11871.75,11922.7,11934.9,11975.05,11871.75,11922.7,11934.9,11975.05,11871.75,11922.7
11 Jun 2019,11959.85,12000.35,11904.35,11965.6,11959.85,7 Nov 1932,11904.35,11965.6,11959.85,12000.35,11904.35,11965.6,11959.85,12000.35,11904.35,11965.6,11959.85,12000.35,11904.35,11965.6,11959.85,12000.35,11904.35,11965.6,11959.85,12000.35,11904.35,11965.6
12 Jun 2019,11962.45,11962.45,11866.35,11906.2,11962.45,30 Sep 1932,11866.35,11906.2,11962.45,11962.45,11866.35,11906.2,11962.45,11962.45,11866.35,11906.2,11962.45,11962.45,11866.35,11906.2,11962.45,11962.45,11866.35,11906.2,11962.45,11962.45,11866.35,11906.2
13 Jun 2019,11873.9,11931.35,11817.05,11914.05,11873.9,30 Aug 1932,11817.05,11914.05,11873.9,11931.35,11817.05,11914.05,11873.9,11931.35,11817.05,11914.05,11873.9,11931.35,11817.05,11914.05,11873.9,11931.35,11817.05,11914.05,11873.9,11931.35,11817.05,11914.05
14 Jun 2019,11910.1,11911.85,11797.7,11823.3,11910.1,10 Aug 1932,11797.7,11823.3,11910.1,11911.85,11797.7,11823.3,11910.1,11911.85,11797.7,11823.3,11910.1,11911.85,11797.7,11823.3,11910.1,11911.85,11797.7,11823.3,11910.1,11911.85,11797.7,11823.3
17 Jun 2019,11844,11844.05,11657.75,11672.15,11844,4 Jun 1932,11657.75,11672.15,11844,11844.05,11657.75,11672.15,11844,11844.05,11657.75,11672.15,11844,11844.05,11657.75,11672.15,11844,11844.05,11657.75,11672.15,11844,11844.05,11657.75,11672.15
18 Jun 2019,11677.05,11727.2,11641.15,11691.5,11677.05,8 Feb 1932,11641.15,11691.5,11677.05,11727.2,11641.15,11691.5,11677.05,11727.2,11641.15,11691.5,11677.05,11727.2,11641.15,11691.5,11677.05,11727.2,11641.15,11691.5,11677.05,11727.2,11641.15,11691.5
19 Jun 2019,11744.45,11802.5,11625.1,11691.45,11744.45,23 Apr 1932,11625.1,11691.45,11744.45,11802.5,11625.1,11691.45,11744.45,11802.5,11625.1,11691.45,11744.45,11802.5,11625.1,11691.45,11744.45,11802.5,11625.1,11691.45,11744.45,11802.5,11625.1,11691.45
20 Jun 2019,11653.65,11843.5,11635.05,11831.75,11653.65,3 Jun 1932,11635.05,11831.75,11653.65,11843.5,11635.05,11831.75,11653.65,11843.5,11635.05,11831.75,11653.65,11843.5,11635.05,11831.75,11653.65,11843.5,11635.05,11831.75,11653.65,11843.5,11635.05,11831.75
21 Jun 2019,11827.6,11827.95,11705.1,11724.1,11827.6,18 May 1932,11705.1,11724.1,11827.6,11827.95,11705.1,11724.1,11827.6,11827.95,11705.1,11724.1,11827.6,11827.95,11705.1,11724.1,11827.6,11827.95,11705.1,11724.1,11827.6,11827.95,11705.1,11724.1
24 Jun 2019,11725.8,11754,11670.2,11699.65,11725.8,6 Mar 1932,11670.2,11699.65,11725.8,11754,11670.2,11699.65,11725.8,11754,11670.2,11699.65,11725.8,11754,11670.2,11699.65,11725.8,11754,11670.2,11699.65,11725.8,11754,11670.2,11699.65
25 Jun 2019,11681,11814.4,11651,11796.45,11681,5 May 1932,11651,11796.45,11681,11814.4,11651,11796.45,11681,11814.4,11651,11796.45,11681,11814.4,11651,11796.45,11681,11814.4,11651,11796.45,11681,11814.4,11651,11796.45
26 Jun 2019,11768.15,11871.85,11757.55,11847.55,11768.15,1 Jul 1932,11757.55,11847.55,11768.15,11871.85,11757.55,11847.55,11768.15,11871.85,11757.55,11847.55,11768.15,11871.85,11757.55,11847.55,11768.15,11871.85,11757.55,11847.55,11768.15,11871.85,11757.55,11847.55
27 Jun 2019,11860.85,11911.15,11821.05,11841.55,11860.85,10 Aug 1932,11821.05,11841.55,11860.85,11911.15,11821.05,11841.55,11860.85,11911.15,11821.05,11841.55,11860.85,11911.15,11821.05,11841.55,11860.85,11911.15,11821.05,11841.55,11860.85,11911.15,11821.05,11841.55
28 Jun 2019,11861.15,11871.7,11775.5,11788.85,11861.15,1 Jul 1932,11775.5,11788.85,11861.15,11871.7,11775.5,11788.85,11861.15,11871.7,11775.5,11788.85,11861.15,11871.7,11775.5,11788.85,11861.15,11871.7,11775.5,11788.85,11861.15,11871.7,11775.5,11788.85
1 Jul 2019,11839.9,11884.65,11830.8,11865.6,11839.9,14 Jul 1932,11830.8,11865.6,11839.9,11884.65,11830.8,11865.6,11839.9,11884.65,11830.8,11865.6,11839.9,11884.65,11830.8,11865.6,11839.9,11884.65,11830.8,11865.6,11839.9,11884.65,11830.8,11865.6
2 Jul 2019,11890.3,11917.45,11814.7,11910.3,11890.3,16 Aug 1932,11814.7,11910.3,11890.3,11917.45,11814.7,11910.3,11890.3,11917.45,11814.7,11910.3,11890.3,11917.45,11814.7,11910.3,11890.3,11917.45,11814.7,11910.3,11890.3,11917.45,11814.7,11910.3
3 Jul 2019,11932.15,11945.2,11887.05,11916.75,11932.15,13 Sep 1932,11887.05,11916.75,11932.15,11945.2,11887.05,11916.75,11932.15,11945.2,11887.05,11916.75,11932.15,11945.2,11887.05,11916.75,11932.15,11945.2,11887.05,11916.75,11932.15,11945.2,11887.05,11916.75
4 Jul 2019,11928.8,11969.25,11923.65,11946.75,11928.8,7 Oct 1932,11923.65,11946.75,11928.8,11969.25,11923.65,11946.75,11928.8,11969.25,11923.65,11946.75,11928.8,11969.25,11923.65,11946.75,11928.8,11969.25,11923.65,11946.75,11928.8,11969.25,11923.65,11946.75
5 Jul 2019,11964.75,11981.75,11797.9,11811.15,11964.75,19 Oct 1932,11797.9,11811.15,11964.75,11981.75,11797.9,11811.15,11964.75,11981.75,11797.9,11811.15,11964.75,11981.75,11797.9,11811.15,11964.75,11981.75,11797.9,11811.15,11964.75,11981.75,11797.9,11811.15
